date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
2011-08-29,14354192529.730589,23300396243.36344,199868670982.13605,371691293107.7079
2011-08-30,14420035207.8004,23275084309.81199,200584791713.44055,371231667735.25775
2011-08-31,14436402697.702435,23162302880.833134,200730805310.70755,369139055909.4402
2011-09-01,14591176799.765245,23300396243.36344,202474658597.8461,371691293107.7079
2011-09-02,14436402697.702435,23263221891.9243,200730805310.70755,370997622512.6727
2011-09-03,14366539125.13624,23212408559.252026,200013737905.9248,370067423593.54486
2011-09-04,14354192529.730589,23162302880.833134,199868670982.13605,369139055909.4402
2011-09-05,14310935092.250725,23136775978.912155,199439737425.19913,368675835768.10767
2011-09-06,14254582984.553135,23123889619.184383,198868388821.09335,368445156900.38354
2011-09-07,14280898105.495678,23085700843.26301,199153982148.32047,367750340955.06726
2011-09-08,14238126299.003223,23072660857.28749,198723904551.77344,367520427309.166
2011-09-09,14183567947.38717,23072660857.28749,198154582270.4548,367520427309.166
2011-09-10,14171444983.682287,23023974898.40602,198014772704.4632,366597406439.0679
2011-09-11,14157894884.393648,23012444747.576576,197871256856.05023,366366223213.8062
2011-09-12,14171444983.682287,23012444747.576576,198014772704.4632,366366223213.8062
2011-09-13,14183567947.38717,23023974898.40602,198154582270.4548,366597406439.0679
2011-09-14,14183567947.38717,22987291910.067135,198154582270.4548,365905647786.48175
2011-09-15,14116364631.421902,22950820680.895695,197447920191.89536,365221167158.12823
2011-09-16,14171444983.682287,22963717627.214836,198014772704.4632,365452131979.9174
2011-09-17,14171444983.682287,22976093725.786495,198014772704.4632,365681070205.0791
2011-09-18,14157894884.393648,22963717627.214836,197871256856.05023,365452131979.9174
2011-09-19,14100478682.182516,22950820680.895695,197305059936.08685,365221167158.12823
2011-09-20,14171444983.682287,22950820680.895695,198014772704.4632,365221167158.12823
2011-09-21,14171444983.682287,22950820680.895695,198014772704.4632,365221167158.12823
2011-09-22,14100478682.182516,22950820680.895695,197305059936.08685,365221167158.12823
2011-09-23,14100478682.182516,22939225313.04747,197305059936.08685,364992732621.42334
2011-09-24,14077565056.804884,22939225313.04747,197023153452.86795,364992732621.42334
